,adult,budget,genres,id,original_language,original_title,overview,popularity,production_companies,runtime,spoken_languages,status,vote_average,vote_count
2143,False,0,"[{'id': 18, 'name': 'Drama'}]",218624,en,Choices,"A popular high school student seems to have it all; a spot on the football team, the love of playing music in the school orchestra and a girlfriend.  His world seems to come apart when the school doctor discovers he is partially deaf, causing him to be cut from the football team on the advice of the doctor.  The student's friends fight to keep him on the team; while he struggles with his problem by withdrawing from everything he loves and starts falling in with the wrong crowd.",0.304363,[],90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,0.0,0.0
31020,False,0,"[{'id': 35, 'name': 'Comedy'}]",43371,en,Bedtime for Bonzo,College prof Peter Boyd tries to salvage his professional and personal reputation by using a lab chimp to prove that environment trumps heredity in behavioral development.,0.077936,[],83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,8.0,2.0
44764,False,1000000,"[{'id': 99, 'name': 'Documentary'}]",432602,en,An Inconvenient Sequel: Truth to Power,"A decade after An Inconvenient Truth brought climate change into the heart of popular culture comes the riveting and rousing follow-up that shows just how close we are to a real energy revolution. Vice President Al Gore continues his tireless fight, traveling around the world training an army of climate champions and influencing international climate policy. Cameras follow him behind the scenes—in moments private and public, funny and poignant—as he pursues the empowering notion that while the stakes have never been higher, the perils of climate change can be overcome with human ingenuity and passion.",2.53117,"[{'name': 'Participant Media', 'id': 6735}, {'name': 'Actual Films', 'id': 18073}]",100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.9,9.0
7209,False,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",11081,en,Taking Lives,"Recruited to assist Montreal police in their desperate search for a serial killer who assumes the identities of his victims, FBI profiler Illeana Scott knows it's only a matter of time before the killer strikes again. Her most promising lead is a museum employee who might be the killer's only eyewitness.",7.85646,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Atmosphere Entertainment MM', 'id': 2995}, {'name': 'Warner Bros.', 'id': 6194}]",103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.0,356.0
12145,False,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",95560,en,The Monster Walks,"Ruth Earlton has come home to her ancestral mansion to claim her inheritance.  Accompanied by her boyfriend, she discovers that her father died suddenly under suspicious circumstances.  Now it's her turn, as her deranged and relentless uncle targets her for death with the help of his wife and son, plus a very unhappy ape.",0.136451,"[{'name': 'Ralph M. Like Productions', 'id': 46010}]",60.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.0,3.0
6990,False,18000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}]",10028,en,Honey,"Honey Daniels (Jessica Alba) dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director (David Moscow) who casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",11.863954,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Marc Platt Productions', 'id': 2527}, {'name': 'NuAmerica Entertainment', 'id': 41963}]",94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.0,313.0
18482,False,0,"[{'id': 37, 'name': 'Western'}]",70387,en,A Man Called Sledge,"James Garner is Luther Sledge, the leader of a pack of rebels who are planning to steal a stash of gold. But after the thieves actually manage to get away with the bounty, they soon discover that the enemy lies within their midst. As they begin to bicker over who should get the biggest cut, the stage is set for a deadly showdown. Claude Akins and John Marley co-star in this Italian Western directed by Vic Morrow.",1.360791,"[{'name': 'Dino de Laurentiis Cinematografica', 'id': 1216}]",93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.5,11.0
14092,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",184781,en,Voices,"Oscar-nominee Amy Irving (""Crossing Delancy,"" ""Carrie"") stars as a deaf woman who falls in love with an aspiring rock singer, even though she is unable to hear him sing.",0.792974,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,0.0,0.0
40552,False,0,[],394412,it,Fiore,"Young and in prison for theft, Daphne falls in love with Josh, another inmate. Their love story exists through secret letters and fleeting conversations.",1.461567,"[{'name': 'Rai Cinema', 'id': 2683}, {'name': '3B Productions', 'id': 7184}, {'name': 'Pupkin Production', 'id': 7704}]",110.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,6.2,32.0
20616,False,1970000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",123964,fi,Miss Farkku-Suomi,"Year 1977. Punk and new wave rock´n roll has arrived to remote Finland and a bleak small town Oulu where increasingly odd-looking youths began to appear in the street with a message. Their rebellion speaks to Välde (17). Välde dreams of joining a rock band and becoming famous. He wants to get drunk for the first time, and to win the love of Pike, the most beautiful girl in the class.  When Pike wins the Miss Blue Jeans contest organised by the country´s leading (and only) pop music magazine Suosikki and takes as her boyfriend the bourgeois Henri Hakala, Välde puts all his eggs in one basket. He abandons his former self and begins purposefully constructing a new persona for himself. But everything doesn’t go as Välde wanted …  The film is based on a novel by Kauko Röyhkä, an author and indie rock musician.",0.491187,[],86.0,"[{'iso_639_1': 'fi', 'name': 'suomi'}]",Released,5.9,6.0
33801,False,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",108972,ko,화차,"A woman suddenly disappears. Her fiance then sets out to find her and, in the process, uncovers layers of dark hidden secrets.",2.160501,[],117.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,7.0,22.0
36344,False,0,"[{'id': 35, 'name': 'Comedy'}]",84865,it,Ma L'Amore... Sì,,0.003796,[],0.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,0.0,0.0
19388,False,0,"[{'id': 878, 'name': 'Science Fiction'}]",112090,en,Branded,"In a dystopian future, where corporate brands have created a disillusioned population, one man's effort to unlock the truth behind the conspiracy leads to an epic battle with hidden forces that control the world.",11.297363,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'TNT', 'id': 21928}, {'name': 'Bomar OOD', 'id': 28176}, {'name': 'Mirumir', 'id': 58137}]",106.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,4.6,69.0
8559,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",24188,it,Il sorpasso,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer.",4.577991,"[{'name': 'Fair Film', 'id': 1399}, {'name': 'Incei Film', 'id': 12473}, {'name': 'Sancro Film', 'id': 12989}]",105.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,8.1,92.0
44081,False,0,"[{'id': 99, 'name': 'Documentary'}]",390319,en,Tickling Giants,"The Arab Spring in Egypt: From a dictator to free elections, back to a dictatorship. One comedy show united the country and tested the limits of free press. This is the story of Bassem Youssef, a cardiologist turned comedian, the Jon Stewart of Egypt, and his show ""The Show"".",0.289103,"[{'name': 'Sarkasmos Productions', 'id': 89218}]",111.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,8.2,5.0
43718,False,0,"[{'id': 10752, 'name': 'War'}, {'id': 27, 'name': 'Horror'}]",210734,en,Battlefield Death Tales,3 interlocking stories from the dark days of World War 2. A soldier on a suicide mission. A troubled family with a monster in their bomb shelter. A supernatural investigator on her most dangerous assignment yet.,0.115317,"[{'name': 'Amber Pictures', 'id': 25323}, {'name': 'Jinx Media', 'id': 57720}]",87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,2.5,3.0
6728,False,0,"[{'id': 35, 'name': 'Comedy'}]",21059,en,Girls Will Be Girls,"The confessional, behind-the-scenes showbiz melodrama goes under the knife — so to speak — in this drag comedy. ""Girls Will Be Girls"" casts three male performers in the roles of Evie Harris (Jack Plotnick), a has-been starlet of the '70s who has since gone to seed in her decaying Hollywood home; her best friend and domestic servant, Coco (Clinton Leupp); and Varla (Jeffrey Roberson), the daughter of a deceased peer/rival of Evie's who shows up to rent out a room in her home. The tension among the trio of women escalates as Evie prepares for a pull-out-all-the-stops television special commemorating her past career glories, which include sundry disaster movies and TV variety shows. What Evie doesn't know is that the naïve-seeming Varla has a debt to settle for her deceased mom, and will stop at nothing to seek vengeance.",0.45041899999999996,"[{'name': 'SRO Pictures', 'id': 3896}]",79.0,[],Released,5.0,9.0
5824,False,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",2149,en,Body of Evidence,"Sizzingly sexy Madonna leads a star-filled cast in this erotic thriller as a woman accused of killing a wealthy, elderly man through her insatiable sexual prowess.",4.655727,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.5,57.0
25203,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",204965,de,Drei Stunden,,0.425095,"[{'name': 'Bayerischer Rundfunk (BR)', 'id': 7333}, {'name': 'Hochschule für Fernsehen und Film München (HFF)', 'id': 19677}, {'name': 'Kaissar Film', 'id': 24144}, {'name': 'd.i.e. Film GmbH', 'id': 61101}]",,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,7.5,2.0
1807,False,1500000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",9464,en,Buffalo '66,"Billy is released after five years in prison. In the next moment, he kidnaps teenage student Layla and visits his parents with her, pretending she is his girlfriend and they will soon marry.",9.167761,[],110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,7.2,172.0
27779,False,0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",4885,ru,Десять негритят,A disturbing psychological thriller based on the classic novel by Agatha Christie. Ten strangers are forced to come face to face with their dark pasts after receiving an anonymous invitation to an isolated island off the coast of England.,1.8327919999999998,"[{'name': 'Одесская киностудия', 'id': 11438}]",137.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,7.0,12.0
42430,False,0,"[{'id': 35, 'name': 'Comedy'}]",97643,en,The Tom Green Subway Monkey Hour,Tom Green causes havoc in the country who brought us Godzilla &amp; sushi.,0.113206,[],50.0,[],Released,9.3,3.0
29014,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",265563,es,El misterio de la felicidad,"Life-long business partners Santiago and Eugenio understand each other without words, care for each other, and need each other. When Eugenio vanishes without a clue, Santiago and Laura, Eugenio’s wife, join forces to solve the mystery of his disappearance. What they discover is neither what they set out to find nor what you would expect, and their shared journey becomes a surprising and lighthearted meditation on friendship, love, and loyalty.",0.7603800000000001,"[{'name': 'Total Entertainment', 'id': 6446}, {'name': 'BD Cine', 'id': 9962}, {'name': 'Televisión Federal (Telefe)', 'id': 21915}]",92.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,6.3,5.0
43992,False,0,"[{'id': 35, 'name': 'Comedy'}]",66084,ru,Ne Nado Pechalitsya,A funny comedy about the adventures of the people living in a small village on a border between Russia and Belarus.,0.170717,"[{'name': 'FokusFilm', 'id': 21706}]",91.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,5.9,4.0
21662,False,20000000,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",109417,en,Battle of the Year,"A down-on-his-luck coach is hired to prepare a team of the best American dancers for an international tournament that attracts all the best crews from around the world, but the Americans haven't won in fifteen years.",5.0739,"[{'name': 'Screen Gems', 'id': 3287}]",110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.9,89.0
29195,False,0,"[{'id': 35, 'name': 'Comedy'}]",30467,en,Virgin High,"When he is caught with his girlfriend, she is shipped off to a Catholic boarding school. He poses as a priest to see her and is beset with a series of surprises that prove that nothing is sacred at the academy of the blessed virgin",0.001393,[],90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.0,3.0
25609,False,0,"[{'id': 18, 'name': 'Drama'}]",114285,en,Todos tenemos un plan,"Following the death of his identical twin brother Pedro, Agustín sets out to begin his life anew by assuming Pedro’s identity and returning to the mysterious Tigre Delta region where the brothers had spent their childhood. Soon after his homecoming, however, Agustín finds himself unwittingly embroiled in the deadly criminal underworld that his brother had been part of.",0.877481,"[{'name': 'Haddock Films S.R.L.', 'id': 5623}, {'name': 'Tornasol Films', 'id': 7680}]",117.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'es', 'name': 'Español'}]",Post Production,4.8,11.0
973,False,0,[],161806,en,Ed's Next Move,"Ed lives in Wisconsin, but he's just been dumped by his girlfriend. So he moves to New York City for a big change...but will he ever find love again? He loves his new job studying the genetics of different strains of rice. He has a good partnership with his promiscuous roommate Ray. And he's made some great friends, characters at the local diner. But then there's Natalie (Lee for short). She's just what Ed thinks he's looking for, and she's available...or is she?",0.5502779999999999,[],88.0,[],Released,3.0,1.0
8146,False,0,"[{'id': 18, 'name': 'Drama'}]",1653,es,Diarios de motocicleta,"""The Motorcycle Diaries"" is based on the journals of Che Guevara, leader of the Cuban Revolution. In his memoirs, Guevara recounts adventures he, and best friend Alberto Granado, had while crossing South America by motorcycle in the early 1950s.",7.667491,"[{'name': 'Senator Film Produktion', 'id': 191}, {'name': 'Wildwood Enterprises', 'id': 316}, {'name': 'Sound for Film', 'id': 1143}, {'name': 'Inca Films S.A.', 'id': 6638}, {'name': 'Filmfour', 'id': 6705}, {'name': 'BD Cine', 'id': 9962}, {'name': 'Tu Vas Voir Productions', 'id': 17469}, {'name': 'Sahara Films', 'id': 19027}]",126.0,"[{'iso_639_1': 'qu', 'name': ''}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,7.2,295.0
45330,False,0,"[{'id': 99, 'name': 'Documentary'}]",401408,en,"Leslie Caron, française à Hollywood, américaine à Paris","Leslie Caron, beloved star of Gigi and An American in Paris, is one of the last witnesses to the golden age of American cinema of the mid 20th century.  Discovered by Gene Kelly when she was a teenager, she became one of the great talents in the worlds of film, dance, and theatre, still performing to this day!  The film reveals a story told through the prism of a living legend who reveals secrets of her work and life- a world of contradictions, ambitions and dreams, lived by one of its most luminous personalities.",0.122378,"[{'name': 'Arte France', 'id': 6111}, {'name': 'Matter of Fact Media', 'id': 63383}, {'name': 'Schuch Productions', 'id': 86738}]",53.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,8.0,1.0
23601,False,0,"[{'id': 35, 'name': 'Comedy'}]",31880,en,The Pool Boys,A pool boy and a gardener turn an empty mansion into a home for women who belong to the world's oldest profession.,9.837218,"[{'name': 'A-Mark Entertainment', 'id': 2248}, {'name': 'Zide-Perry Productions', 'id': 3169}, {'name': 'FlipZide Pictures', 'id': 3478}, {'name': 'Project 8 Films', 'id': 18665}, {'name': 'Parallel Media', 'id': 18667}, {'name': 'Voodoo Production Services', 'id': 18668}]",84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.0,29.0
45097,False,0,[],168235,en,"I, Pet Goat II",SYMBOLIC REMIX OF THE WORLD’S MODERN TRAVESTIES RENDERED WITH AN INCREDIBLE LEVEL OF POLISH BY A NEW CANADIAN ANIMATION STUDIO.,0.122244,[],8.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,7.5,2.0
39315,False,0,"[{'id': 28, 'name': 'Action'}]",40741,ja,無宿人御子神の丈吉 牙は引き裂いた,"Can a sinful man change and find peace? It's unlikely in gang-plagued Japan. Jokichi of Mikogami, a drifter (and hired sword), goes straight after protecting a woman in distress: they marry, have a son, and Jokichi pursues his father's craft. After three years, the gangs he embarrassed when he saved his wife find the family and leave Jokichi in grief, vowing revenge. To parry his terrible swift sword, rival gangs join forces, hiring a prostitute to pose as a woman needing help and breaking the code of honor to double cross the drifter. He finds unlikely allies: a thief who aids him for fun and a one-eyed swordsman who may be Jokichi's equal in skill and honor.",0.002671,"[{'name': 'Tokyo Eiga Co., Ltd.', 'id': 74810}]",88.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,0.0,0.0
21610,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",195757,en,The Ultimate Life,"Despite his best intentions, billionaire Jason Stevens can’t find enough time to keep his beloved Alexia a priority. But when he discovers his late grandfather’s journal, he is transported back to Red Stevens’ incredible world. With everything he loves hanging in the balance, Jason Stevens hopes the past will prepare him well for the future.",1.779834,[],105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.5,15.0
21689,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",25666,en,Frog Dreaming,"American boy Cody lives in Australia with his guardian, Gaza. Cody is very imaginative, inventive, and inquisitive. He comes accross some strange events happening in Devil's Knob national park associated with an aboriginal myth about ""frog dreamings"". Cody tries to investigate...",1.3711870000000002,"[{'name': 'Middle Reef', 'id': 4405}]",93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,4.9,10.0
11143,False,0,"[{'id': 18, 'name': 'Drama'}]",35075,da,Blade af Satans Bog,Dreyer's classic silent film tells the tale of Satan's (Helge Nissen) banishment from heaven.,0.385286,[],121.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,5.7,3.0
7526,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",29454,sv,Ansikte mot Ansikte,A sensitive exploration of the tragic irony of the psychiatrist suffering with mental illness.,1.8146740000000001,"[{'name': 'Dino de Laurentiis Cinematografica', 'id': 1216}, {'name': 'Cinematograph AB', 'id': 7445}, {'name': 'Sveriges Radio', 'id': 35673}]",136.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,6.9,18.0
31273,False,0,"[{'id': 18, 'name': 'Drama'}]",159389,en,TalhotBlond,"Thomas Montgomery, a married father of two young daughters, gets seduced by the world of online gambling and chat rooms where a virtual romance and sexual obsession ultimately leads to the murder of an innocent man.",2.371553,"[{'name': 'Motion Picture Corporation of America (MPCA)', 'id': 11061}, {'name': 'Sony Pictures Television', 'id': 11073}, {'name': 'Silver Screen Pictures', 'id': 12799}, {'name': 'Lasky Productions', 'id': 52429}]",88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.1,16.0
1947,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",34774,en,In Search of the Castaways,"In Search of the Castaways is a 1962 Walt Disney Productions feature film starring Hayley Mills and Maurice Chevalier in a tale about a worldwide search for a shipwrecked sea captain. The film was directed by Robert Stevenson from a screenplay by Lowell S, Hawley based upon Jules Verne's 1868 adventure novel Captain Grant's Children.",2.679615,"[{'name': 'Walt Disney Productions', 'id': 3166}]",98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.2,20.0
4578,False,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",44414,en,Liebestraum,A man returns to his hometown and a series of dark secrets are revealed.,4.198128,"[{'name': 'Pathé Entertainment', 'id': 841}, {'name': 'Initial Entertainment Group (IEG)', 'id': 7380}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.2,5.0
39437,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",81633,ja,歓待,"In this black comedy the lives of a timid small-time printer and his young wife are turned inside out by the arrival of a stranger who moves in and takes over their world. Set in a village-like outpost in the heart of Tokyo, this is a wry commentary on Japanese xenophobia. Kiki Sugino heads a spritely ensemble cast.",0.157878,[],96.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,6.3,3.0
20713,False,0,"[{'id': 35, 'name': 'Comedy'}]",148034,sr,Varljivo leto '68,"For the young man who lives in Serbian province town, the maturing coincides with the turbulent political events of the year 1968.",0.8797280000000001,"[{'name': 'Centar Film', 'id': 15165}]",91.0,"[{'iso_639_1': 'sr', 'name': 'Srpski'}]",Released,6.6,7.0
6280,False,0,"[{'id': 37, 'name': 'Western'}]",11916,en,Two Mules for Sister Sara,"Hogan, on his way to do some reconnaissance for a future mission to capture a French fort, encounters Sister Sara, a nun in trouble. Before he knows it, Hogan is accompanying Sister Sara in the dangerous frontier while she seeks to achieve a hidden goal.",10.072738000000001,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Sanen Productions', 'id': 10812}]",116.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,6.6,129.0
35038,False,0,"[{'id': 18, 'name': 'Drama'}]",79435,fr,Le Vent de la nuit,A housewife's (Catherine Deneuve) affair with a younger man (Xavier Beauvois) goes nowhere.,0.203538,[],95.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,6.0,4.0
19585,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",48202,en,Creature from the Haunted Sea,A crook decides to bump off members of his inept crew and blame their deaths on a legendary sea creature. What he doesn't know is that the creature is real.,0.297889,"[{'name': 'Roger Corman Productions', 'id': 14047}]",63.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,3.3,6.0
43389,False,0,"[{'id': 35, 'name': 'Comedy'}]",85901,uk,Za dvumya zaytsami,"Based on the vaudeville by M. Staritsky Svirid Petrovich Golokhvasty had his own barbershop in town and a reputation of a dandy. Once, after losing everything he had at cards, he decided to remedy his financial situation by a profitable marriage. A rich but ugly girl named Pronya Serko fell for the illustrious suitor’s courtship...",0.87052,"[{'name': 'Dovzhenko Film Studios', 'id': 4581}, {'name': 'Кіностудія ім. Довженко', 'id': 6009}]",77.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'uk', 'name': 'Український'}]",Released,7.1,8.0
14379,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",30431,en,Creation,"A psychological, heart-wrenching love story that provides a unique and inside look at Charles Darwin. Torn between faith and science, he struggles to finish his legendary book ""On the Origin of the Species,"" which goes on to become the foundation for evolutionary biology.",3.744449,"[{'name': 'BBC Films', 'id': 288}, {'name': 'HanWay Films', 'id': 2395}, {'name': 'UK Film Council', 'id': 2452}, {'name': 'Ocean Pictures', 'id': 7433}, {'name': 'Recorded Picture Company (RPC)', 'id': 11561}]",108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,6.6,71.0
28309,False,0,"[{'id': 35, 'name': 'Comedy'}]",31547,tr,Şaban Oğlu Şaban,No overview found.,1.115787,"[{'name': 'Arzu Film', 'id': 4639}]",90.0,"[{'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,8.4,7.0
24047,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",198567,bn,মহাপুরুষ,"A wandering baba initiates a widower layer and his youngest daughter, irritating her boyfriend Satya and the ever-skeptical Nibaran.",0.7498199999999999,"[{'name': 'Rajshri Productions Pvt Ltd', 'id': 4533}, {'name': 'R.D.Banshal & Co.', 'id': 15320}]",65.0,"[{'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,5.4,4.0
6491,False,0,"[{'id': 18, 'name': 'Drama'}]",49762,en,Where the Rivers Flow North,"Sleeper with a top notch cast in the story of a lone wolf logger who fights developers, bankers and the modern world to maintain his way of life.",0.17770899999999998,"[{'name': 'Caledonia Pictures', 'id': 12854}]",106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.5,1.0
20526,False,0,"[{'id': 35, 'name': 'Comedy'}]",143796,fr,Tant qu'on a la santé,"This anthology film from Étaix’s peak period presents four comic episodes with an accent on the pitfalls of modern life: (1) a scary vampire novel keeps a man awake, (2) a moviegoer’s attempts to find a seat give way to an onslaught of absurd ads, (3) noise and pollution send a man to the doctor’s, (4) a hunter disrupts a rural idyll. In French with English subtitles. (Martin Rubin, Gene Siskel Film Center)",0.436688,"[{'name': 'CAPAC', 'id': 1122}, {'name': 'Les Films de la Colombe', 'id': 2390}]",64.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,6.3,4.0
22694,False,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",19400,en,Gwendoline,"A beautiful woman hires an intrepid adventurer to help find her father, who has disappeared in the jungle while searching for a rare and priceless butterfly. Along the way they run into cannibals, a race of Amazon warriors and all the usual attractions one would expect to find in a lost jungle.",2.520484,"[{'name': ""Films de L'Alma"", 'id': 3605}, {'name': 'G.P.F.I.', 'id': 18108}, {'name': 'Parafrance Films', 'id': 47767}]",88.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,4.2,23.0
35439,False,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 10749, 'name': 'Romance'}]",311093,en,A Christmas Kiss II,"At a Christmastime event, Jenna shares an impromptu, unforgettable kiss with the dashing billionaire, Cooper Montgomery. Unaware of his intentions and fearful of getting hurt in another relationship, Jenna vows to resist his charms, but begins to realize his affection is real as the two spend more time together.",1.896928,"[{'name': 'Marvista Entertainment', 'id': 6679}]",90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,5.9,9.0
40365,False,0,"[{'id': 18, 'name': 'Drama'}]",392807,fi,Hymyilevä mies,"Summer 1962 and Olli Mäki has a shot at the world championship title in featherweight boxing. From the Finnish countryside to the bright lights of Helsinki, everything has been prepared for his fame and fortune. All Olli has to do is lose weight and concentrate. But there is a problem – he has fallen in love with Raija.",1.876069,"[{'name': 'ONE TWO Films', 'id': 39720}, {'name': 'Film Väst', 'id': 74636}, {'name': 'Aamu Filmcompany', 'id': 84882}, {'name': 'Elokuvayhtiö Oy Aamu', 'id': 84883}]",92.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fi', 'name': 'suomi'}]",Released,6.9,11.0
4103,False,0,[],125093,en,Too Much Sleep,"While riding the bus one day, night watchman Jack Crawford gets distracted by a beautiful girl and has his gun stolen. To get it back, he enlists the help of local wise guy, Eddie, and their search reveals the bizarre characters lurking in the strange underworld of a sleepy New Jersey suburb.",0.0011769999999999999,[],88.0,[],Released,0.0,0.0
